Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;b;28;26;18;-68;-82;-60,7478;321,626;35,6538;59,645;185;43,0298;137,68;-39,7885;-53,7885;137,14;0,975425;313,568;5,8;;50;-51,0864;750,58;-52,0325;39,58;;;;;651;16;22,3464;132,275;2,1217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d150720;c;6;24;14;-64;-78;-61,6096;132,518;31,4938;43,765;330;38,9404;139,34;-41,6336;-55,6336;138,7;1,07159;254,822;7,48;;100;-49,1638;498,44;-52,3376;39,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d160720;a;1;25;15;-70;-84;-60,6824;186,678;9,43962;44,6166;239;47,6379;141,72;-38,1419;-52,1419;141,18;0,901459;340,271;9,84;;75;-46,9055;665,6;-51,8799;39,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d170720;a;0;26;16;-70;-84;-59,8962;191,594;16,1272;59,194;309;49,4385;142,3;-35,1302;-49,1302;141,86;0,91189;373,077;10,48;high thresh burst?;25;-46,9055;665,6;-49,0112;38,98;;;;WT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230121;b;13;27;18;-77;-91;-61,1027;342,927;35,5934;46,872;136,682151;27,2827;147,14;-43,3805;-57,3805;146,46;1,1623;205,994;14,98;borderline;125;-53,8025;229,59;-54,5349;40,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;c;26;27;17;-74;-88;-59,7119;171,682;36,3954;53,221;309,9975536;19,1956;133,48;-40,3345;-54,3345;132,7;1,27969;141,144;5,56;;50;-50,6287;968,46;-53,1311;40,2;;;;;d270420 a;;;;d270420 b;;;;d180620 a;;;;d180620 b;;;;d220620;;;;d180720;;;;d251018;;;;d250719;;;;d020819 b;;;;;;;
d250121;a;0;29;21;-72;-86;-63,2688;191,468;8,68146;40,877;213,4925941;31,9214;141,08;-40,2149;-54,2149;140,44;1,09606;221,252;9,08;low thresh burst;75;-41,8701;916,55;-46,6614;40,2;;;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;pA;N� APs;AP Freq;;;;;;
d040221;a;0;25;18;-70;-84;-61,8488;313,141;18,3536;63,05;201,346997;21,3928;142,8;-40,1383;-54,1383;142,08;1,27798;165,558;10,76;;75;-52,5818;796,34;-51,9409;40,44;;;;2;;;;12;;;;3;;;;21;;0;;1;;;;1;;;;1;;0;;1;;;;10;;;;;;;;
d060221;b;16;27;18;-70;-84;-62,9498;189,895;21,1442;61,251;322,5519366;30,7617;140,84;-33,8429;-47,8429;140,16;1,06647;196,075;8,8;no enough Aps;275;-51,3;938,22;-52,3682;1,02207;;;;25;0;;;25;0;;;25;0;;;25;0;0;;25;0;;;26;0;;;25;0;0;;25;0;;;25;0;;;;;;;
d010222;a;1;24;14;-70;-84;-62,4149;482,546;33,1461;71,564;148,3050321;24,6582;142,92;-37,1083;-51,1083;142,18;1,28403;170,898;11,04;;51;;;;;;;;50;0;;;50;0;;;50;2;;;50;3;3,75;;50;2;;;50;0;;;50;4;6,86342;;50;0;;;50;0;;;;;;;
